,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2012-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,44.0,-5.0,-5.0,-9.0,-9.0,-9.0,,131.0,96.0,36.0,36.0,,12.0,-8.0,-68.0,77.0,74.0,-83.0,87.0,-12.39,-21.53,,,269.72,202.5,-98.0,,302.0,0.0,0.0,,0.0,11750000.0
2016-12-01,58.0,0.0,0.0,-4.0,-4.0,-4.0,,147.0,106.0,41.0,41.0,,13.0,-10.0,-10.0,17.0,11.0,-21.0,95.0,-0.29,-6.33,-9.55,-2.62,260.31,223.28,-31.0,,323.0,0.0,0.0,,0.0,12650000.0
