,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,1058.0,22.0,22.0,14.0,16.0,16.0,,978.0,372.0,606.0,606.0,,53.0,111.0,-41.0,-2.0,21.0,89.0,,2.04,1.54,,,61.36,1037.23,153.0,129.54,5674.0,3.49,0.0,0.0,0.0,10686277.0
2016-12-01,2726.0,98.0,98.0,80.0,65.0,65.0,,1064.0,402.0,663.0,663.0,,53.0,14.0,-107.0,,31.0,-17.0,,3.59,2.38,10.22,6.35,60.63,1143.75,607.0,17.46,6204.0,1.71,,,0.0,10686277.0
2017-12-01,2373.0,-84.0,-84.0,-89.0,-65.0,-65.0,,1058.0,457.0,601.0,601.0,,53.0,109.0,-30.0,,30.0,78.0,,-3.53,-2.75,-10.33,-6.15,75.99,1032.85,-611.0,-14.17,5626.0,1.54,,,,10686277.0
