,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3400000.0
2014-12-01,239.0,16.0,16.0,18.0,14.0,14.0,,133.0,106.0,27.0,27.0,,17.0,65.0,-15.0,,0.0,64.0,,6.86,5.69,,,392.33,53.98,400.0,,797.0,0.0,0.0,,,3400000.0
2015-12-01,201.0,-20.0,-20.0,-24.0,-19.0,-18.0,-1.0,131.0,120.0,11.0,9.0,1.0,17.0,-2.0,-68.0,25.0,47.0,-49.0,23.0,-9.74,-9.6,,,1144.68,-52.2,-529.0,-37.55,279.0,71.26,0.0,0.0,0.0,3400000.0
2016-12-01,60.0,-31.0,-31.0,-32.0,-34.0,-34.0,0.0,65.0,84.0,-20.0,-20.0,,17.0,-18.0,-5.0,5.0,0.0,-18.0,27.0,-52.25,-56.8,641.85,-34.75,-423.86,-221.32,-987.0,-3.73,-586.0,-6.28,0.0,0.0,0.0,3400000.0
2017-12-01,18.0,-36.0,-36.0,-46.0,-48.0,-48.0,,36.0,48.0,-13.0,-13.0,,32.0,-36.0,18.0,14.0,0.0,-36.0,36.0,-207.2,-276.54,298.53,-96.86,-383.37,-141.63,-893.0,-2.58,-197.0,-11.68,0.0,0.0,,6377070.0
