,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2156250.0
2014-12-01,42.0,5.0,,6.0,7.0,,,98.0,32.0,66.0,,,22.0,8.0,-5.0,0.0,,,18.0,12.76,15.87,,,48.52,205.78,308.0,,3058.0,0.0,0.0,,0.0,2156250.0
2015-12-01,39.0,2.0,,3.0,3.0,,,91.0,22.0,69.0,,,22.0,-11.0,-5.0,1.0,,,16.0,4.92,7.08,4.09,2.91,32.42,218.55,128.0,,3185.0,0.0,0.0,,0.0,2156250.0
2016-12-01,38.0,-6.0,,-6.0,-6.0,,,105.0,40.0,65.0,,,23.0,-6.0,-4.0,18.0,,,30.0,-16.15,-16.2,-9.2,-6.25,62.69,186.13,-276.0,-36.23,2861.0,3.49,0.0,0.0,0.0,2256250.0
2017-12-01,31.0,-11.0,-11.0,-11.0,-11.0,-11.0,,85.0,31.0,54.0,54.0,,23.0,0.0,-1.0,-5.0,1.0,-1.0,25.0,-35.18,-35.01,-18.35,-11.42,58.2,138.05,-481.0,-9.81,2380.0,1.98,,,0.0,2256250.0
