,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2016-12-01,3220.0,129.0,129.0,169.0,140.0,140.0,,9769.0,3426.0,6343.0,6343.0,,100.0,522.0,-1714.0,1368.0,1653.0,-1131.0,2096.0,4.02,4.34,2.3,1.52,54.02,5581.99,764.0,29.38,31701.0,0.71,0.0,0.0,0.0,
2017-12-01,3044.0,-44.0,-44.0,-66.0,-60.0,-60.0,,10016.0,3729.0,6287.0,6287.0,,100.0,11.0,-795.0,546.0,357.0,-346.0,2614.0,-1.43,-1.96,-0.94,-0.6,59.3,5526.84,-298.0,-64.97,31426.0,0.62,,,0.0,
