,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
2016-12-01,990.0,140.0,140.0,135.0,108.0,106.0,2.0,1146.0,317.0,830.0,809.0,20.0,71.0,198.0,-121.0,,16.0,182.0,,14.18,10.95,14.02,10.01,38.19,1041.12,149.0,13.02,1138.0,1.71,0.0,0.0,0.0,
2017-12-01,858.0,71.0,71.0,77.0,67.0,71.0,-4.0,1271.0,371.0,899.0,883.0,17.0,71.0,2.0,-126.0,40.0,12.0,-10.0,40.0,8.3,7.79,8.34,5.53,41.29,1141.01,99.0,17.89,1240.0,1.43,20.0,1.13,20.16,
