,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,118.0,14.0,104.0,104.0,,5.0,0.0,-100.0,118.0,,,13.0,,,,,13.09,1867.2,-28.0,-93.68,1967.0,1.34,0.0,0.0,0.0,5300000.0
2016-12-01,,-1.0,-1.0,0.0,0.0,0.0,0.0,119.0,14.0,105.0,105.0,,5.0,1.0,-2.0,0.0,,,13.0,,,0.31,0.27,13.66,1873.32,6.0,320.25,1973.0,0.99,0.0,0.0,0.0,5300000.0
2017-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,120.0,15.0,105.0,105.0,,5.0,1.0,-1.0,0.0,,,14.0,,,0.25,0.22,14.27,1878.25,5.0,402.45,1978.0,1.0,,,,5300000.0
