,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2259620.0
2014-12-01,23.0,-9.0,-9.0,-8.0,-8.0,-8.0,,70.0,16.0,54.0,54.0,,13.0,-13.0,-16.0,52.0,3.0,-17.0,10.0,-36.73,-34.84,,,29.35,314.44,-333.0,,2074.0,0.0,0.0,,0.0,2609320.0
2015-12-01,41.0,-4.0,-4.0,-3.0,-3.0,-3.0,,69.0,8.0,61.0,61.0,,14.0,-4.0,5.0,,2.0,-6.0,,-8.73,-6.38,-4.55,-3.77,13.13,349.1,-99.0,,2245.0,0.0,0.0,,0.0,2700225.0
2016-12-01,47.0,-16.0,-16.0,-16.0,-16.0,-16.0,,259.0,17.0,242.0,242.0,,18.0,-11.0,-128.0,200.0,2.0,-13.0,,-33.89,-33.02,-10.29,-9.51,6.94,1258.68,-536.0,-31.8,6790.0,2.51,0.0,0.0,0.0,3561724.0
2017-12-01,56.0,-15.0,-15.0,-18.0,-18.0,-18.0,,243.0,17.0,226.0,226.0,,18.0,-9.0,-11.0,2.0,4.0,-13.0,,-27.34,-31.13,-7.49,-6.99,7.36,1160.2,-490.0,-25.42,6298.0,1.98,,,0.0,3594724.0
