,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,114.0,9.0,104.0,104.0,,6.0,0.0,-100.0,113.0,,,9.0,,,,,9.05,1794.32,7.0,287.85,1894.0,1.05,0.0,0.0,0.0,5500000.0
2017-12-01,,-1.0,-1.0,1.0,1.0,1.0,0.0,114.0,10.0,105.0,105.0,,6.0,1.0,-1.0,0.0,,,9.0,,,0.5,0.46,9.24,1803.87,10.0,206.97,1904.0,1.04,,,,5500000.0
