,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,200000.0
2015-12-01,45.0,10.0,,10.0,9.0,,,27.0,8.0,19.0,,,8.0,-1.0,-2.0,4.0,,,6.0,23.03,19.87,,,45.48,138.97,3548.0,,1195.0,0.0,0.0,,0.0,1550000.0
2016-12-01,130.0,21.0,21.0,20.0,19.0,19.0,,121.0,53.0,67.0,67.0,,15.0,-28.0,-1.0,67.0,0.0,-28.0,47.0,16.49,14.57,44.19,25.65,79.67,343.44,921.0,,2217.0,0.0,0.0,,0.0,3026000.0
2017-12-01,105.0,-33.0,-33.0,-33.0,-34.0,-34.0,,151.0,63.0,89.0,89.0,,26.0,-70.0,-16.0,64.0,2.0,-71.0,56.0,-31.18,-32.23,-43.45,-24.9,70.63,237.79,-986.0,-4.26,1689.0,2.49,0.0,0.0,0.0,5254600.0
