,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,100000.0
2015-12-01,11.0,-1.0,,-1.0,-1.0,,,3.0,3.0,-1.0,,,0.0,-1.0,-2.0,3.0,,,3.0,-8.27,-8.27,,,-606.22,-206.56,-874.0,,-533.0,0.0,0.0,,,100000.0
2016-12-01,41.0,11.0,11.0,11.0,9.0,9.0,,72.0,10.0,61.0,61.0,,27.0,7.0,-2.0,37.0,1.0,6.0,6.0,27.27,22.2,29.56,24.19,16.75,126.65,1067.0,,1133.0,0.0,0.0,,0.0,5425070.0
2017-12-01,135.0,14.0,14.0,14.0,11.0,11.0,,81.0,12.0,69.0,69.0,,27.0,8.0,-13.0,-4.0,10.0,-2.0,6.0,10.22,8.4,17.36,14.88,16.65,168.8,209.0,16.2,1302.0,2.6,0.0,0.0,0.0,5425070.0
