,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,-1.0,-1.0,0.0,0.0,0.0,0.0,118.0,16.0,102.0,102.0,,5.0,-1.0,-116.0,118.0,,,16.0,,,,,16.25,1848.31,-17.0,-113.98,1948.0,1.02,,,0.0,5210000.0
2017-12-01,,-1.0,-1.0,0.0,0.0,0.0,0.0,119.0,17.0,102.0,102.0,,5.0,0.0,-1.0,0.0,,,17.0,,,0.3,0.26,16.56,1854.17,6.0,339.83,1954.0,1.02,,,,5210000.0
