,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2900000.0
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2900000.0
2015-12-01,84.0,3.0,3.0,3.0,3.0,3.0,,77.0,21.0,56.0,56.0,,14.0,28.0,-28.0,-2.0,2.0,27.0,7.0,3.82,3.81,,,36.6,287.79,110.0,,1939.0,0.0,0.0,,0.0,2900000.0
2016-12-01,84.0,4.0,4.0,4.0,4.0,4.0,,138.0,23.0,114.0,114.0,,18.0,21.0,-69.0,54.0,2.0,19.0,7.0,4.97,4.94,4.88,3.88,20.43,533.26,142.0,,3166.0,0.0,0.0,,0.0,2900000.0
2017-12-01,92.0,4.0,4.0,-32.0,-32.0,-32.0,,165.0,77.0,89.0,89.0,,18.0,8.0,-29.0,28.0,36.0,-28.0,35.0,4.38,-34.52,-31.35,-20.97,86.95,389.37,-881.0,-10.67,2453.0,3.83,,,0.0,2900000.0
