,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1310000.0
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1310000.0
2015-12-01,133.0,4.0,,3.0,3.0,,,64.0,53.0,11.0,,,7.0,-13.0,-6.0,19.0,,,21.0,3.26,2.26,,,494.89,63.5,230.0,,817.0,0.0,0.0,,0.0,1310000.0
2016-12-01,168.0,8.0,8.0,6.0,4.0,4.0,,76.0,62.0,14.0,14.0,,10.0,9.0,-2.0,1.0,3.0,5.0,30.0,4.89,2.21,29.96,5.33,437.5,41.12,187.0,,706.0,0.0,0.0,,0.0,2000000.0
2017-12-01,183.0,5.0,5.0,1.0,1.0,1.0,,89.0,62.0,27.0,27.0,,12.0,15.0,-34.0,13.0,30.0,-15.0,30.0,2.54,0.7,6.14,1.54,226.96,126.39,61.0,68.51,1132.0,3.71,,,0.0,2414907.0
