,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,200000.0
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2000000.0
2015-12-01,114.0,13.0,13.0,14.0,13.0,13.0,,35.0,17.0,18.0,18.0,,1.0,5.0,-7.0,,1.0,5.0,3.0,11.51,11.15,,,94.88,1682.45,638.0,,891.0,0.0,0.0,,0.0,2000000.0
2016-12-01,186.0,21.0,21.0,21.0,19.0,19.0,,159.0,55.0,104.0,104.0,,2.0,26.0,0.0,-2.0,0.0,26.0,4.0,11.16,10.4,31.75,20.01,52.43,4699.4,771.0,,2400.0,0.0,0.0,,0.0,4335400.0
2017-12-01,393.0,63.0,63.0,61.0,51.0,48.0,3.0,398.0,129.0,269.0,235.0,34.0,23.0,29.0,-120.0,91.0,2.0,28.0,70.0,15.9,13.04,,,48.18,911.86,1094.0,,5059.0,0.0,,,,4638430.0
