,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14000004.0
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2015-12-01,60.0,33.0,33.0,33.0,25.0,25.0,0.0,139.0,28.0,111.0,111.0,,70.0,-6.0,18.0,-14.0,0.0,,0.0,55.0,42.12,,,25.39,58.36,141.0,,644.0,0.0,0.0,,0.64,14000004.0
2016-12-01,40.0,14.0,14.0,13.0,10.0,10.0,0.0,216.0,8.0,208.0,208.0,,112.0,-3.0,1.0,68.0,1.0,,0.0,33.86,26.16,6.56,5.88,4.06,85.38,60.0,60.24,927.0,3.88,0.0,0.0,0.0,22421004.0
2017-12-01,52.0,22.0,22.0,22.0,17.0,17.0,0.0,364.0,121.0,243.0,243.0,,112.0,-8.0,-170.0,120.0,0.0,,87.0,41.74,32.68,7.54,5.86,49.71,117.07,76.0,40.59,1085.0,2.84,15.0,0.49,19.77,22421004.0
