,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8345637.0
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,8345637.0
2015-12-01,144.0,26.0,26.0,26.0,21.0,21.0,,62.0,25.0,37.0,37.0,,1.0,19.0,0.0,0.0,0.0,19.0,2.0,18.27,14.78,,,69.64,3553.12,254.0,,438.0,0.0,24.0,,9.42,8345637.0
2016-12-01,189.0,37.0,37.0,37.0,30.0,30.0,,96.0,29.0,68.0,68.0,,1.0,26.0,-30.0,1.0,,26.0,,19.55,15.94,57.8,38.05,42.3,6491.76,360.0,,791.0,0.0,0.0,,0.0,8562624.0
2017-12-01,265.0,54.0,54.0,56.0,45.0,45.0,,357.0,38.0,320.0,320.0,,60.0,35.0,-214.0,206.0,23.0,12.0,,20.47,17.09,23.42,19.99,11.8,439.2,442.0,15.96,2664.0,2.65,0.0,0.0,0.0,12041343.0
