,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1000000.0
2014-12-01,17.0,-1.0,,-1.0,-1.0,,,31.0,16.0,15.0,,,1.0,2.0,-15.0,15.0,,,3.0,-7.04,-8.08,,,107.23,2207.92,-111.0,,1154.0,0.0,0.0,,0.0,1055540.0
2015-12-01,18.0,-18.0,,-20.0,-20.0,,,31.0,21.0,10.0,,,9.0,-20.0,0.0,29.0,,,15.0,-103.07,-110.57,-155.25,-63.55,197.69,14.99,-1220.0,,575.0,0.0,0.0,,0.0,1366050.0
2016-12-01,15.0,-20.0,,-21.0,-21.0,,,58.0,19.0,39.0,,,11.0,-28.0,1.0,49.0,,,14.0,-133.3,-140.56,-84.63,-47.07,48.62,270.73,-1113.0,-5.48,1854.0,3.29,0.0,0.0,0.0,1366050.0
2017-12-01,13.0,-42.0,-42.0,-43.0,-43.0,-43.0,,37.0,30.0,7.0,7.0,,11.0,-33.0,-10.0,17.0,4.0,-37.0,21.0,-320.1,-332.4,-187.51,-90.82,436.63,-36.85,-2002.0,-6.69,316.0,42.44,0.0,0.0,0.0,1426604.0
