,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,1690.0,215.0,215.0,199.0,148.0,153.0,-5.0,1793.0,836.0,957.0,939.0,19.0,29.0,289.0,-172.0,22.0,59.0,230.0,356.0,12.74,8.77,,,87.32,3060.72,2827.0,17.11,11500.0,4.21,0.0,0.0,0.0,8168085.0
2017-12-01,2848.0,353.0,353.0,439.0,341.0,345.0,-4.0,2113.0,840.0,1272.0,1258.0,14.0,31.0,302.0,-117.0,51.0,85.0,217.0,361.0,12.41,11.97,31.38,17.45,66.02,4024.28,4220.0,17.71,15420.0,4.85,455.0,0.61,10.76,8168085.0
