,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,-27.0,-15.57,610.0,0.7,0.0,0.0,,46962890.0
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,-23.0,-18.21,582.0,0.73,0.0,0.0,,46962890.0
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-7.79,460.0,1.91,0.0,0.0,,46962890.0
2016-12-01,497.0,4.0,4.0,9.0,9.0,9.0,,505.0,176.0,329.0,328.0,1.0,58.0,-29.0,-253.0,230.0,3.0,-32.0,109.0,0.75,1.84,,,53.33,510.35,16.0,69.08,549.0,2.05,0.0,0.0,0.0,63578899.0
2017-12-01,609.0,-68.0,-68.0,-61.0,-62.0,-56.0,-6.0,551.0,65.0,485.0,474.0,11.0,99.0,-79.0,41.0,127.0,50.0,-128.0,,-11.12,-10.15,-13.9,-11.72,13.45,409.36,-82.0,-6.4,500.0,1.05,,,,
