,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,4326000.0
2014-12-01,58.0,8.0,8.0,4.0,3.0,3.0,,79.0,67.0,12.0,12.0,,22.0,9.0,-5.0,-3.0,0.0,8.0,52.0,12.98,5.53,,,566.0,-44.12,74.0,,274.0,0.0,0.0,,0.0,4326000.0
2015-12-01,62.0,5.0,5.0,2.0,2.0,2.0,,110.0,60.0,50.0,50.0,,29.0,7.0,-25.0,22.0,6.0,1.0,41.0,8.41,3.29,6.63,2.16,120.95,74.04,41.0,,862.0,0.0,0.0,,0.0,5778769.0
2016-12-01,81.0,12.0,12.0,-28.0,-26.0,-26.0,,116.0,94.0,23.0,23.0,,29.0,8.0,-2.0,-1.0,4.0,4.0,41.0,14.84,-32.6,-72.76,-23.29,413.66,-20.77,-454.0,-9.91,389.0,11.56,0.0,0.0,0.0,5812103.0
2017-12-01,86.0,6.0,6.0,-31.0,-32.0,-32.0,,98.0,106.0,-8.0,-8.0,,29.0,12.0,-7.0,0.0,8.0,4.0,42.0,6.61,-36.48,-439.62,-29.45,-1285.91,-129.0,-543.0,-10.5,-142.0,-40.13,0.0,0.0,,5822103.0
