,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2805000.0
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2805000.0
2015-12-01,156.0,6.0,,-8.0,-8.0,,,103.0,67.0,36.0,,,8.0,19.0,-19.0,34.0,,,42.0,3.63,-5.07,,,187.4,361.69,-112.0,,462.0,0.0,0.0,,,7758100.0
2016-12-01,140.0,6.0,,2.0,3.0,,,103.0,61.0,42.0,,,8.0,-11.0,-5.0,-10.0,,,37.0,4.1,2.02,7.26,2.75,144.69,431.23,36.0,,531.0,0.0,0.0,,0.0,7924766.0
2017-12-01,136.0,-10.0,-10.0,-9.0,-9.0,-9.0,,91.0,48.0,42.0,42.0,,11.0,-6.0,-4.0,8.0,4.0,-10.0,37.0,-7.67,-6.3,-20.29,-8.86,113.55,277.6,-88.0,-13.4,393.0,2.99,,,0.0,10824760.0
