,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2016-12-01,153.0,-11.0,-11.0,-10.0,-11.0,-11.0,,249.0,24.0,225.0,225.0,,43.0,14.0,-10.0,,6.0,8.0,6.0,-6.91,-6.93,-4.59,-4.16,10.84,421.75,-124.0,-56.89,2615.0,2.69,0.0,0.0,0.0,
2017-12-01,149.0,-15.0,-15.0,-14.0,-14.0,-14.0,,232.0,22.0,210.0,210.0,,43.0,-15.0,-21.0,,2.0,-17.0,6.0,-10.33,-9.52,-6.54,-5.91,10.53,389.66,-165.0,-45.08,2438.0,3.06,,,0.0,
