,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2.29,,
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1.22,,
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1.13,,
2016-12-01,1431.0,81.0,81.0,71.0,56.0,52.0,4.0,1205.0,646.0,560.0,526.0,34.0,58.0,112.0,-20.0,-43.0,24.0,88.0,365.0,5.64,3.95,10.29,4.74,115.39,814.19,453.0,11.46,4571.0,1.14,60.0,1.16,13.22,
2017-12-01,1496.0,89.0,89.0,80.0,64.0,59.0,5.0,1212.0,603.0,608.0,573.0,35.0,58.0,87.0,-15.0,-41.0,17.0,70.0,338.0,5.92,4.28,10.7,5.29,99.13,898.65,510.0,9.97,4994.0,1.02,70.0,1.38,13.67,
