,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,26331609.0
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,26331609.0
2017-09-01,22.0,1.0,1.0,-21.0,-21.0,-21.0,,356.0,120.0,237.0,237.0,,26.0,,,,,0.0,97.0,4.02,-96.6,,,50.5,795.3,-79.0,,900.0,2.04,0.0,,,26331609.0
2017-12-01,21.0,-2.0,-2.0,-58.0,-74.0,-74.0,,289.0,126.0,163.0,163.0,,26.0,-24.0,-86.0,114.0,2.0,-26.0,97.0,-10.4,-350.1,,,77.19,516.1,-283.0,,620.0,3.42,0.0,,0.0,26357049.0
2018-03-01,21.0,-6.0,-6.0,-6.0,-6.0,-6.0,,265.0,94.0,171.0,171.0,,28.0,-5.0,28.0,-14.0,1.0,-6.0,70.0,-28.06,-28.64,,,55.4,511.61,-23.0,,616.0,3.26,,,,27724009.0
