,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2016-12-01,,,,,,,,116.0,75.0,41.0,41.0,,15.0,,,,,0.0,66.0,,,,,183.26,171.24,,,1356.0,6.27,0.0,,,
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,,,,,,,,134.0,74.0,61.0,61.0,,17.0,,,,,0.0,64.0,,,,,121.73,249.21,,,1746.0,5.27,,,,2060000.0
