,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,27000000.0
2017-06-01,,,,,,,,3518.0,2545.0,973.0,973.0,,270.0,,,,,0.0,574.0,,,,,261.55,260.68,,,3604.0,0.0,0.0,,,27000000.0
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,27000000.0
2017-12-01,,,,,,,,4983.0,2665.0,2318.0,2318.0,,300.0,,,,,0.0,457.0,,,,,114.96,673.36,,,7727.0,3.43,250.0,,,30000000.0
2018-03-01,2798.0,531.0,531.0,526.0,403.0,403.0,,5504.0,2844.0,2660.0,2660.0,,300.0,494.0,-332.0,-51.0,0.0,494.0,412.0,18.99,14.41,,,106.9,787.13,1344.0,,8867.0,3.51,,,,30000000.0
