,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,283.0,14.0,14.0,2.0,2.0,2.0,,3486.0,252.0,3234.0,3234.0,,69.0,23.0,-20.0,23.0,7.0,16.0,69.0,5.03,0.71,,,7.79,4659.6,22.0,,23552.0,0.43,,,0.0,
2018-03-01,382.0,25.0,25.0,67.0,53.0,53.0,,3472.0,220.0,3252.0,3252.0,,69.0,47.0,-86.0,-11.0,4.0,43.0,57.0,6.61,13.8,,,6.77,4734.18,384.0,,23683.0,0.6,,,,
