,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7457966.0
2017-06-01,,,,,,,,1060.0,554.0,506.0,505.0,1.0,49.0,,,,,0.0,448.0,,,,,109.47,952.76,,,5176.0,0.0,0.0,,,9748340.0
2017-09-01,60.0,11.0,11.0,-1.0,8.0,8.0,0.0,1099.0,578.0,520.0,519.0,1.0,49.0,17.0,-28.0,22.0,0.0,16.0,474.0,17.95,12.62,,,111.17,968.42,78.0,,5323.0,0.0,0.0,,0.0,9748340.0
2017-12-01,43.0,-8.0,-8.0,-39.0,-31.0,-31.0,0.0,1053.0,563.0,490.0,488.0,2.0,49.0,25.0,-43.0,9.0,1.0,23.0,475.0,-18.98,-71.36,,,115.01,905.71,-317.0,,5008.0,0.0,0.0,,0.0,9748340.0
2018-03-01,34.0,-8.0,-8.0,-17.0,-3.0,-3.0,0.0,1023.0,532.0,491.0,490.0,2.0,54.0,-23.0,-27.0,46.0,2.0,-25.0,452.0,-23.24,-9.96,,,108.22,813.48,-33.0,,4544.0,1.18,0.0,,0.0,10788540.0
