,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,0.0,0.0,0.0,0.0,0.0,0.0,160.0,10.0,150.0,150.0,,8.0,0.0,0.0,0.0,,,10.0,,,0.99,0.93,6.39,1779.98,5.0,106.05,1880.0,1.04,0.0,,0.0,8000000.0
2017-06-01,,0.0,0.0,0.0,0.0,0.0,0.0,160.0,10.0,151.0,151.0,,8.0,0.0,0.0,0.0,,,10.0,,,0.91,0.85,6.46,1784.06,4.0,117.26,1884.0,1.06,0.0,,,8000000.0
2017-09-01,,0.0,0.0,1.0,1.0,1.0,0.0,161.0,10.0,151.0,151.0,,8.0,0.0,0.0,0.0,,,10.0,,,1.22,1.15,6.48,1789.09,9.0,88.1,1889.0,1.07,0.0,,,8000000.0
2017-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,161.0,10.0,152.0,152.0,,8.0,2.0,-2.0,0.0,,,10.0,,,1.19,1.12,6.42,1793.74,5.0,88.77,1894.0,1.05,0.0,,,8000000.0
2018-03-01,,0.0,0.0,0.0,0.0,0.0,0.0,162.0,10.0,152.0,152.0,,8.0,0.0,0.0,0.0,,,10.0,,,1.25,1.18,6.48,1799.61,6.0,85.63,1900.0,1.07,0.0,,0.0,8000000.0
