,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,3.0,3.0,,0.0,0.0,0.0,15.0,,,12.0,,,,,394.49,1972.98,,,,,,,,
2017-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,84.0,12.0,72.0,72.0,,4.0,0.0,-70.0,68.0,,,12.0,,,,,17.32,1858.78,3.0,,1959.0,1.02,,,,
2018-03-01,,0.0,0.0,0.0,0.0,0.0,0.0,84.0,12.0,71.0,71.0,,4.0,0.0,0.0,0.0,,,12.0,,,,,17.44,1855.2,-4.0,,1955.0,1.05,,,,
