,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,10000000.0
2017-06-01,,,,,,,,3772.0,1316.0,2455.0,2248.0,208.0,50.0,,,,,0.0,332.0,,,,,53.61,4447.09,,,22365.0,0.0,0.0,,,10050000.0
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,10050000.0
2017-12-01,,,,,,,,4297.0,1689.0,2608.0,2410.0,198.0,55.0,,,,,0.0,403.0,,,,,64.77,4383.6,,,21808.0,0.49,200.0,1.89,,11050000.0
2018-03-01,822.0,57.0,57.0,127.0,104.0,104.0,0.0,4763.0,2076.0,2686.0,2490.0,196.0,55.0,235.0,-293.0,-1.0,2.0,233.0,401.0,6.92,12.65,,,77.28,4549.26,938.0,,22534.0,0.53,0.0,,0.0,11050000.0
