,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2016-12-01,,,,,,,,395.0,326.0,69.0,69.0,,30.0,,,,,0.0,91.0,,,,,475.82,173.05,,,14277.0,1.12,400.0,,,
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-12-01,,,,,,,,550.0,472.0,78.0,78.0,,30.0,,,,,0.0,137.0,,,,,605.33,205.13,,,16234.0,0.91,500.0,,,
