,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2016-03-01,,,,,,,,148.0,101.0,48.0,,,17.0,,,,,,78.0,,,,,210.55,187.57,,,1438.0,4.49,0.0,,,
2016-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2017-03-01,,,,,,,,117.0,82.0,35.0,,,18.0,,,,,,63.0,,,,,237.25,94.3,,,972.0,2.18,0.0,,,
