,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,315000.0
2017-06-01,,0.0,0.0,0.0,0.0,0.0,0.0,98.0,15.0,83.0,83.0,,4.0,0.0,0.0,0.0,,,15.0,,,,,18.3,1827.09,,,,,0.0,,,4315000.0
2017-09-01,,0.0,0.0,0.0,0.0,0.0,0.0,99.0,15.0,83.0,83.0,,4.0,0.0,0.0,0.0,,,15.0,,,,,18.49,1832.1,5.0,,1932.0,1.04,0.0,,,4315000.0
2017-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,99.0,16.0,83.0,83.0,,4.0,0.0,0.0,0.0,,,15.0,,,,,18.65,1834.99,3.0,,1935.0,1.03,0.0,,,4315000.0
2018-03-01,,0.0,0.0,0.0,0.0,0.0,0.0,99.0,16.0,83.0,83.0,,4.0,0.0,0.0,0.0,,,15.0,,,,,19.0,1833.49,-2.0,623.27,1933.0,1.06,,,,4315000.0
